epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1213.82,0.25271,0.39916,0.88823,0.87031,0.87964,0.93811,0.83237,0.53038,0.62007,0.64538,0.000863116,0.000863116,0.000863116
22,1271.72,0.2529,0.39296,0.88608,0.85751,0.88729,0.90418,0.81924,0.48057,0.59885,0.62924,0.000834822,0.000834822,0.000834822
23,1329.71,0.24743,0.39567,0.88562,0.84683,0.88091,0.91617,0.83203,0.4787,0.62054,0.61729,0.000806528,0.000806528,0.000806528
24,1388.66,0.24922,0.37749,0.88807,0.83856,0.91736,0.94044,0.84969,0.47518,0.6164,0.61696,0.000778233,0.000778233,0.000778233
25,1447.93,0.24217,0.37115,0.88592,0.85382,0.84374,0.89999,0.77971,0.53297,0.62915,0.61668,0.000749939,0.000749939,0.000749939
26,1506.88,0.23497,0.35924,0.87957,0.86495,0.89892,0.88607,0.80958,0.45969,0.62632,0.60724,0.000721645,0.000721645,0.000721645
27,1565.74,0.23619,0.34324,0.88144,0.83515,0.92461,0.9056,0.81565,0.49542,0.63875,0.6057,0.000693351,0.000693351,0.000693351
28,1623.74,0.23313,0.35252,0.87804,0.80666,0.88873,0.88429,0.79835,0.45883,0.6188,0.62916,0.000665057,0.000665057,0.000665057
29,1684.34,0.22437,0.33138,0.87809,0.84359,0.91151,0.91116,0.82835,0.44219,0.61271,0.60378,0.000636762,0.000636762,0.000636762
30,1744.1,0.22042,0.3247,0.87624,0.81998,0.90393,0.89146,0.80999,0.47648,0.6144,0.58792,0.000608468,0.000608468,0.000608468
31,1802.1,0.21933,0.31983,0.87455,0.84233,0.87356,0.90169,0.82511,0.44877,0.61113,0.6108,0.000580174,0.000580174,0.000580174
32,1865.13,0.2221,0.31021,0.87556,0.88252,0.91698,0.89977,0.82687,0.46355,0.6261,0.61061,0.00055188,0.00055188,0.00055188
33,1928.82,0.21801,0.29965,0.87273,0.84797,0.90234,0.90311,0.83967,0.43352,0.70802,0.57038,0.000523586,0.000523586,0.000523586
34,1992.8,0.20744,0.29507,0.87201,0.87304,0.89266,0.90151,0.8341,0.43634,0.63668,0.60348,0.000495291,0.000495291,0.000495291
35,2056.91,0.20846,0.29479,0.87336,0.86054,0.89982,0.88509,0.81283,0.43773,0.65281,0.61182,0.000466997,0.000466997,0.000466997
36,2120.41,0.20756,0.28219,0.86959,0.86487,0.90643,0.88852,0.8163,0.44438,0.63119,0.59069,0.000438703,0.000438703,0.000438703
37,2183.81,0.20518,0.27912,0.87183,0.84662,0.9275,0.90005,0.83229,0.42331,0.6328,0.57573,0.000410409,0.000410409,0.000410409
38,2247.94,0.19353,0.27287,0.86306,0.8598,0.83253,0.90042,0.83683,0.4174,0.65172,0.57102,0.000382115,0.000382115,0.000382115
39,2311.53,0.19734,0.26907,0.86865,0.86,0.90549,0.90664,0.83936,0.41531,0.57298,0.58187,0.00035382,0.00035382,0.00035382
40,2372.41,0.19665,0.25722,0.86731,0.85651,0.90241,0.89095,0.82205,0.41093,0.63207,0.57602,0.000325526,0.000325526,0.000325526
41,2452.01,0.30663,0.28093,0.77335,0.84981,0.89327,0.90335,0.83986,0.41282,0.61022,0.55503,0.000297232,0.000297232,0.000297232
42,2507.02,0.29963,0.25136,0.76565,0.86713,0.89498,0.89404,0.83578,0.39488,0.63133,0.54888,0.000268938,0.000268938,0.000268938
43,2563.54,0.29423,0.24578,0.76724,0.88235,0.90803,0.90091,0.84052,0.39545,0.5969,0.5502,0.000240644,0.000240644,0.000240644
44,2620.23,0.2849,0.24054,0.75965,0.86607,0.91275,0.91161,0.85568,0.3813,0.62188,0.54006,0.000212349,0.000212349,0.000212349
45,2676.89,0.27765,0.23316,0.7646,0.86113,0.91748,0.8879,0.83258,0.38735,0.66146,0.54893,0.000184055,0.000184055,0.000184055
46,2733.33,0.27716,0.22982,0.76077,0.86967,0.92014,0.91611,0.86096,0.38882,0.59921,0.55099,0.000155761,0.000155761,0.000155761
47,2787.77,0.2702,0.22017,0.75763,0.86186,0.93261,0.9129,0.86128,0.38611,0.59297,0.53857,0.000127467,0.000127467,0.000127467
48,2840.58,0.27002,0.22191,0.76232,0.84337,0.93899,0.91203,0.8608,0.37541,0.58905,0.54098,9.91726e-05,9.91726e-05,9.91726e-05
49,2893.95,0.25714,0.2117,0.76032,0.85509,0.93707,0.90715,0.85843,0.36861,0.6057,0.5371,7.08784e-05,7.08784e-05,7.08784e-05
50,2949.19,0.25796,0.21179,0.75543,0.88066,0.91706,0.90695,0.85773,0.36943,0.59304,0.53636,4.25842e-05,4.25842e-05,4.25842e-05
